Номер операции      Угол элевации       Угол курса
252                   25.479               45.722
253                   25.5109               46.5242
254                   25.5748               44.9199
255                   25.5748               44.9199
256                   25.639               46.5242
257                   25.6712               45.722
258                   25.6712               45.722
259                   25.7035               46.5242
260                   25.7683               44.9199
261                   25.7683               44.9199
262                   25.8334               46.5242
263                   25.8334               46.5242
264                   25.8661               47.3263
265                   25.8988               46.5242
266                   25.9317               45.722
267                   25.9976               47.3263
268                   25.9976               47.3263
269                   26.0638               45.722
270                   26.0638               45.722
271                   26.1303               47.3263
272                   26.1303               47.3263
273                   26.1971               45.722
274                   26.2307               46.5242
275                   26.2307               46.5242
276                   26.298               44.9199
277                   26.298               44.9199
278                   26.3656               46.5242
279                   26.3656               46.5242
280                   26.3995               47.3263
281                   26.4336               46.5242
282                   26.5018               44.9199
283                   26.5361               45.722
284                   26.5361               45.722
285                   26.5705               46.5242
286                   26.6049               47.3263
287                   26.674               45.722
288                   26.674               45.722
289                   26.7434               47.3263
290                   26.7783               46.5242
291                   26.7783               46.5242
292                   26.8482               48.1285
293                   26.8482               48.1285
294                   26.9185               46.5242
295                   26.9538               45.722
296                   26.9538               45.722
297                   26.9891               46.5242
298                   26.9891               46.5242
299                   26.9891               46.5242
300                   26.9891               46.5242
301                   27.0246               45.722
302                   27.0246               45.722
303                   27.0246               45.722
304                   27.0601               46.5242
305                   27.0601               46.5242
306                   27.0957               45.722
307                   27.1314               46.5242
308                   27.1314               46.5242
309                   27.1314               46.5242
310                   27.1314               46.5242
311                   27.1672               45.722
312                   27.1672               45.722
313                   27.1672               45.722
314                   27.1672               45.722
315                   27.2031               46.5242
316                   27.2031               46.5242
317                   27.2031               46.5242
318                   27.239               45.722
319                   27.239               45.722
320                   27.239               45.722
321                   27.2751               46.5242
322                   27.2751               46.5242
323                   27.3112               45.722
324                   27.3112               45.722
325                   27.3112               45.722
326                   27.3475               46.5242
327                   27.3475               46.5242
328                   27.3838               47.3263
329                   27.4202               46.5242
330                   27.4202               46.5242
331                   27.4567               45.722
332                   27.5299               47.3263
333                   27.5667               46.5242
334                   27.5667               46.5242
335                   27.6036               45.722
336                   27.6405               46.5242
337                   27.6775               45.722
338                   27.7147               46.5242
339                   27.7892               44.9199
340                   27.7892               44.9199
341                   27.8641               46.5242
342                   27.8641               46.5242
343                   27.9394               48.1285
344                   27.9394               48.1285
345                   28.015               46.5242
346                   28.015               46.5242
347                   28.091               44.9199
348                   28.091               44.9199
349                   28.1292               45.722
350                   28.2058               47.3263
351                   28.2442               46.5242
352                   28.2442               46.5242
353                   28.3214               44.9199
354                   28.3601               45.722
355                   28.3601               45.722
356                   28.4379               47.3263
357                   28.4379               47.3263
358                   28.516               45.722
359                   28.516               45.722
360                   28.5946               47.3263
361                   28.5946               47.3263
362                   28.6735               45.722
363                   28.6735               45.722
364                   28.7131               46.5242
365                   28.7927               48.1285
366                   28.8326               47.3263
367                   28.8326               47.3263
368                   28.9127               45.722
369                   28.953               46.5242
370                   28.953               46.5242
371                   29.0337               44.9199
372                   29.0743               45.722
373                   29.0743               45.722
374                   29.1556               47.3263
375                   29.1556               47.3263
376                   29.2374               45.722
377                   29.2374               45.722
378                   29.3197               47.3263
379                   29.3197               47.3263
380                   29.4023               45.722
381                   29.4023               45.722
382                   29.4438               46.5242
383                   29.4854               45.722
384                   29.5689               47.3263
385                   29.5689               47.3263
386                   29.6108               46.5242
387                   29.6528               45.722
388                   29.6949               46.5242
389                   29.7795               44.9199
390                   29.7795               44.9199
391                   29.8645               46.5242
392                   29.8645               46.5242
393                   29.9072               47.3263
394                   29.9499               46.5242
395                   30.0358               48.1285
396                   30.0358               48.1285
397                   30.1222               46.5242
398                   30.1222               46.5242
399                   30.1655               45.722
400                   30.2525               47.3263
401                   30.2525               47.3263
402                   30.2962               46.5242
403                   30.2962               46.5242
404                   30.3839               44.9199
405                   30.3839               44.9199
406                   30.428               45.722
407                   30.5164               47.3263
408                   30.5164               47.3263
409                   30.6052               45.722
410                   30.6052               45.722
411                   30.6946               47.3263
412                   30.6946               47.3263
413                   30.7394               46.5242
414                   30.8294               44.9199
415                   30.8746               45.722
416                   30.8746               45.722
417                   30.9654               47.3263
418                   31.011               46.5242
419                   31.011               46.5242
420                   31.0567               45.722
421                   31.1484               47.3263
422                   31.1944               46.5242
423                   31.2406               45.722
424                   31.2406               45.722
425                   31.3333               47.3263
426                   31.3333               47.3263
427                   31.4265               45.722
428                   31.4265               45.722
429                   31.5202               47.3263
430                   31.5202               47.3263
431                   31.6144               45.722
432                   31.6144               45.722
433                   31.7091               47.3263
434                   31.7091               47.3263
435                   31.8044               45.722
436                   31.8044               45.722
437                   31.8522               46.5242
438                   31.9001               45.722
439                   31.9482               46.5242
440                   32.0447               44.9199
441                   32.0447               44.9199
442                   32.1417               46.5242
443                   32.1417               46.5242
444                   32.1904               47.3263
445                   32.2882               45.722
446                   32.3374               46.5242
447                   32.3374               46.5242
448                   32.3866               45.722
449                   32.4855               47.3263
450                   32.4855               47.3263
451                   32.5351               46.5242
452                   32.6348               44.9199
453                   32.6348               44.9199
454                   32.7351               46.5242
455                   32.7351               46.5242
456                   32.8358               48.1285
457                   32.8358               48.1285
458                   32.9372               46.5242
459                   32.9372               46.5242
460                   33.0391               44.9199
461                   33.0391               44.9199
462                   33.0902               45.722
463                   33.193               47.3263
464                   33.193               47.3263
465                   33.2963               45.722
466                   33.2963               45.722
467                   33.4002               47.3263
468                   33.4523               46.5242
469                   33.4523               46.5242
470                   33.5571               44.9199
471                   33.5571               44.9199
472                   33.6624               46.5242
473                   33.6624               46.5242
474                   33.7683               48.1285
475                   33.8215               47.3263
476                   33.8748               46.5242
477                   33.8748               46.5242
478                   33.9283               45.722
479                   33.9819               46.5242
480                   34.0356               45.722
481                   34.0896               46.5242
482                   34.1436               45.722
483                   34.1979               46.5242
484                   34.2522               45.722
485                   34.3068               46.5242
486                   34.3614               45.722
487                   34.4163               46.5242
488                   34.4712               47.3263
489                   34.5817               45.722
490                   34.5817               45.722
491                   34.6371               46.5242
492                   34.7485               44.9199
493                   34.7485               44.9199
494                   34.8605               46.5242
495                   34.8605               46.5242
496                   34.9731               48.1285
497                   35.0296               47.3263
498                   35.0863               46.5242
499                   35.0863               46.5242
500                   35.2002               44.9199
501                   35.2574               45.722
502                   35.2574               45.722
503                   35.3723               47.3263
504                   35.3723               47.3263
505                   35.4878               45.722
506                   35.4878               45.722
507                   35.604               47.3263
508                   35.604               47.3263
509                   35.7208               45.722
510                   35.7208               45.722
511                   35.7795               46.5242
512                   35.8383               45.722
513                   35.9565               47.3263
514                   35.9565               47.3263
515                   36.0754               45.722
516                   36.0754               45.722
517                   36.1949               47.3263
518                   36.1949               47.3263
519                   36.2549               46.5242
520                   36.3755               44.9199
521                   36.436               45.722
522                   36.4967               46.5242
523                   36.4967               46.5242
524                   36.6187               48.1285
525                   36.6187               48.1285
526                   36.6799               47.3263
527                   36.6799               47.3263
528                   36.7413               46.5242
529                   36.7413               46.5242
530                   36.8029               45.722
531                   36.8647               46.5242
532                   36.9266               45.722
533                   37.0511               47.3263
534                   37.1136               46.5242
535                   37.1136               46.5242
536                   37.2391               44.9199
537                   37.2391               44.9199
538                   37.3653               46.5242
539                   37.3653               46.5242
540                   37.4923               44.9199
541                   37.4923               44.9199
542                   37.62               46.5242
543                   37.62               46.5242
544                   37.7484               48.1285
545                   37.7484               48.1285
546                   37.8776               46.5242
547                   37.8776               46.5242
548                   38.0076               44.9199
549                   38.0076               44.9199
550                   38.1383               46.5242
551                   38.2039               47.3263
552                   38.2039               47.3263
