20116.5|10000|36363.7|-3.36103|0|299.981|0
20116.2|9999.95|36393.7|-3.36103|-0.981|299.981|0.1
20115.8|9999.8|36423.7|-3.36103|-1.962|299.981|0.2
20115.5|9999.56|36453.7|-3.36103|-2.943|299.981|0.3
20115.1|9999.22|36483.7|-3.36103|-3.924|299.981|0.4
20114.8|9998.77|36513.7|-3.36103|-4.905|299.981|0.5
20114.5|9998.23|36543.7|-3.36103|-5.886|299.981|0.6
20114.1|9997.6|36573.7|-3.36103|-6.867|299.981|0.7
20113.8|9996.86|36603.7|-3.36103|-7.848|299.981|0.8
20113.5|9996.03|36633.7|-3.36103|-8.829|299.981|0.9
20113.1|9995.09|36663.7|-3.36103|-9.81|299.981|1
20112.8|9994.06|36693.7|-3.36103|-10.791|299.981|1.1
20112.5|9992.94|36723.7|-3.36103|-11.772|299.981|1.2
20112.1|9991.71|36753.7|-3.36103|-12.753|299.981|1.3
20111.8|9990.39|36783.7|-3.36103|-13.734|299.981|1.4
20111.4|9988.96|36813.7|-3.36103|-14.715|299.981|1.5
20111.1|9987.44|36843.7|-3.36103|-15.696|299.981|1.6
20110.8|9985.82|36873.7|-3.36103|-16.677|299.981|1.7
20110.4|9984.11|36903.7|-3.36103|-17.658|299.981|1.8
20110.1|9982.29|36933.7|-3.36103|-18.639|299.981|1.9
20109.8|9980.38|36963.7|-3.36103|-19.62|299.981|2
20109.4|9978.37|36993.7|-3.36103|-20.601|299.981|2.1
20109.1|9976.26|37023.7|-3.36103|-21.582|299.981|2.2
20108.8|9974.05|37053.7|-3.36103|-22.563|299.981|2.3
20108.4|9971.75|37083.7|-3.36103|-23.544|299.981|2.4
20108.1|9969.34|37113.6|-3.36103|-24.525|299.981|2.5
20107.7|9966.84|37143.6|-3.36103|-25.506|299.981|2.6
20107.4|9964.24|37173.6|-3.36103|-26.487|299.981|2.7
20107.1|9961.54|37203.6|-3.36103|-27.468|299.981|2.8
20106.7|9958.75|37233.6|-3.36103|-28.449|299.981|2.9
20106.4|9955.85|37263.6|-3.36103|-29.43|299.981|3
20106.1|9952.86|37293.6|-3.36103|-30.411|299.981|3.1
20105.7|9949.77|37323.6|-3.36103|-31.392|299.981|3.2
20105.4|9946.58|37353.6|-3.36103|-32.373|299.981|3.3
20105.1|9943.3|37383.6|-3.36103|-33.354|299.981|3.4
20104.7|9939.91|37413.6|-3.36103|-34.335|299.981|3.5
20104.4|9936.43|37443.6|-3.36103|-35.316|299.981|3.6
20104.1|9932.85|37473.6|-3.36103|-36.297|299.981|3.7
